Country,Continent,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,Average 2000/16,Maximum 2000/16
China,AS,3531.3,3711.1,3975.5,4642.0,5389.4,6115.6,6747.8,7224.1,7499.3,8188.1,8778.4,9824.2,10340.4,10791.2,10724.6,10594.1,10295.2,7551.3117647058825,10791.2
United States,NA,5893.1,5778.0,5826.4,5876.2,6006.5,6018.9,5944.0,6041.6,5862.7,5444.5,5597.6,5533.1,5324.1,5434.3,5477.1,5334.1,5240.0,5684.24705882353,6041.6
Russia,EU,1545.9,1522.1,1543.3,1597.9,1642.7,1631.6,1680.6,1623.0,1694.8,1557.9,1759.7,1794.8,1820.7,1778.8,1795.4,1802.9,1767.2,1679.9588235294118,1820.7
India,AS,944.7,961.4,1021.9,1035.9,1130.4,1191.3,1287.9,1377.0,1422.6,1529.6,1630.3,1679.9,1893.5,1951.1,2089.1,2151.0,2153.8,1497.141176470588,2153.8
Japan,AS,1200.1,1193.8,1195.8,1256.8,1234.7,1251.7,1236.8,1250.8,1199.3,1107.4,1159.5,1193.7,1254.2,1266.0,1233.6,1195.0,1197.7,1213.3470588235293,1266.0
Germany,EU,856.9,880.6,870.9,869.7,863.1,849.1,855.6,822.7,825.2,783.0,811.4,808.1,816.8,830.3,797.9,799.2,803.0,831.9705882352941,880.6
"Korea, South",AS,463.4,466.1,487.3,501.8,508.5,517.8,511.7,528.8,545.6,550.7,615.6,680.5,686.7,707.2,704.1,718.0,726.2,583.5294117647059,726.2
Canada,NA,535.5,547.4,550.2,577.8,582.5,579.3,567.6,571.9,549.3,530.7,564.3,599.3,598.0,632.0,639.0,641.6,633.4,582.3411764705882,641.6
United Kingdom,EU,573.9,579.6,568.9,581.2,590.2,590.9,594.5,578.1,570.9,521.7,547.1,500.7,514.5,505.3,465.2,447.6,420.9,538.3058823529411,594.5
Iran,AS,322.1,346.5,370.5,387.8,408.6,452.4,478.2,489.7,511.7,564.2,567.8,592.5,616.4,614.9,644.1,642.1,638.0,508.6764705882353,644.1
