State,Population,Violent crime,"Property 
crime"
ALABAMA,4874747,25551,144160
ALASKA,739795,6133,26204
ARIZONA,7016270,35644,204515
ARKANSAS,3004279,16671,92489
CALIFORNIA,39536653,177627,987114
COLORADO,5607154,20638,151483
CONNECTICUT,3588184,8180,63509
DELAWARE,961939,4361,23477
FLORIDA,20984400,85625,527220
GEORGIA,10429379,37258,298298
HAWAII,1427538,3577,40392
IDAHO,1716943,3888,28079
ILLINOIS,12802023,56180,257497
INDIANA,6666818,26598,161132
IOWA,3145711,9230,66855
KANSAS,2913123,12030,81593
KENTUCKY,4454189,10056,94833
LOUISIANA,4684333,26092,157712
MAINE,1335907,1617,20133
MARYLAND,6052177,30273,134496
MASSACHUSETTS,6859819,24560,98575
MICHIGAN,9962311,44826,179318
MINNESOTA,5576606,13291,122212
MISSISSIPPI,2984100,8526,81581
MISSOURI,6113532,32420,173253
MONTANA,1050493,3961,27225
NEBRASKA,1920076,5873,43663
NEVADA,2998039,16667,78322
NEW HAMPSHIRE,1342795,2668,18555
NEW JERSEY,9005644,20604,140086
NEW MEXICO,2088070,16359,82306
NEW YORK,19849399,70799,300555
NORTH CAROLINA4,10273419,37364,261486
NORTH DAKOTA,755393,2125,16602
OHIO,11658609,34683,282034
OKLAHOMA,3930864,17934,113066
OREGON,4142776,11674,123722
PENNSYLVANIA,12805537,40120,211220
RHODE ISLAND,1059639,2460,18561
SOUTH CAROLINA,5024369,25432,160575
SOUTH DAKOTA,869666,3771,16317
TENNESSEE,6715984,43755,197488
TEXAS,28304596,124238,725328
UTAH,3101833,7410,86238
VERMONT,623657,1034,8960
VIRGINIA,8470020,17632,151855
WASHINGTON,7405743,22548,235027
WEST VIRGINIA,1815857,6368,33630
WISCONSIN,5795483,18539,104802
WYOMING,579315,1376,10604
